  Unnamed: 0   Unnamed: 1   Unnamed: 2   Unnamed: 3   Unnamed: 4        Unnamed: 5   Unnamed: 6           Unnamed: 7   Unnamed: 8   Unnamed: 9   Unnamed: 10   Unnamed: 11   Unnamed: 12   Unnamed: 13   Unnamed: 14       Unnamed: 15   Unnamed: 16   Unnamed: 17
  ------------ ------------ ------------ ------------ ----------------- ------------ -------------------- ------------ ------------ ------------ ------------- ------------- ------------- ------------- ----------------- ------------- ------------- --------------------
                                                      Natural Diamond                                                                                                                                    Labmade Diamond                               
  Shape        Price        Carat        Cut          Color             Clarity      Price/Carat                                                               Shape         Price         Carat         Cut               Color         Clarity       Price/Carat
  PEAR         790          0.5          IDEAL        D                 SI2          1580                                                                      PEAR          500           0.5           IDEAL             D             SI2           1000
  PEAR         860          0.51         IDEAL        D                 SI2          1686.2745098039215                                                        CUSHION       540           0.51          IDEAL             D             SI2           1058.8235294117646
  PEAR         970          0.55         IDEAL        D                 SI2          1763.6363636363635                                                        CUSHION       740           0.69          IDEAL             D             SI2           1072.463768115942
  PEAR         700          0.5          IDEAL        D                 SI1          1400                                                                      PEAR          670           0.62          IDEAL             D             SI1           1080.6451612903227
  PEAR         970          0.54         IDEAL        D                 SI1          1796.296296296296                                                         PEAR          530           0.52          IDEAL             D             SI1           1019.2307692307692
  PEAR         1010         0.52         IDEAL        D                 SI1          1942.3076923076922                                                        PEAR          510           0.5           IDEAL             D             SI1           1020
  PEAR         1000         0.5          IDEAL        D                 VS2          2000                                                                      PEAR          530           0.5           IDEAL             D             VS2           1060
  PEAR         1020         0.59         IDEAL        D                 VS2          1728.813559322034                                                         PEAR          720           0.62          IDEAL             D             VS2           1161.2903225806451
  PEAR         1030         0.5          IDEAL        D                 VS2          2060                                                                      PEAR          530           0.5           IDEAL             D             VS2           1060
  PEAR         940          0.51         IDEAL        D                 VS1          1843.1372549019607                                                        PEAR          570           0.5           IDEAL             D             VS1           1140
  PEAR         990          0.5          IDEAL        D                 VS1          1980                                                                      PEAR          660           0.61          IDEAL             D             VS1           1081.967213114754
  PEAR         1110         0.52         IDEAL        D                 VS1          2134.6153846153848                                                        PEAR          540           0.5           IDEAL             D             VS1           1080
  PEAR         950          0.5          IDEAL        D                 VVS2         1900                                                                      PEAR          760           0.63          IDEAL             D             VVS2          1206.3492063492063
  PEAR         1040         0.51         IDEAL        D                 VVS2         2039.2156862745098                                                        PEAR          650           0.54          IDEAL             D             VVS2          1203.7037037037037
  PEAR         1120         0.52         IDEAL        D                 VVS2         2153.846153846154                                                         PEAR          610           0.51          IDEAL             D             VVS2          1196.078431372549
  PEAR         1030         0.5          IDEAL        D                 VVS1         2060                                                                      PEAR          750           0.58          IDEAL             D             VVS1          1293.103448275862
  PEAR         1080         0.59         IDEAL        D                 VVS1         1830.5084745762713                                                        PEAR          870           0.67          IDEAL             D             VVS1          1298.5074626865671
  PEAR         1140         0.53         IDEAL        D                 VVS1         2150.943396226415                                                         PEAR          690           0.53          IDEAL             D             VVS1          1301.8867924528302
  PEAR         1210         0.52         IDEAL        D                 IF           2326.9230769230767                                                        PEAR          880           0.5           IDEAL             D             IF            1760
  PEAR         1350         0.55         IDEAL        D                 IF           2454.5454545454545                                                        PEAR          800           0.52          IDEAL             D             IF            1538.4615384615383
  PEAR         1470         0.58         IDEAL        D                 IF           2534.4827586206898                                                        PEAR          900           0.51          IDEAL             D             IF            1764.7058823529412
  PEAR         760          0.61         IDEAL        E                 SI2          1245.9016393442623                                                        PEAR          530           0.55          IDEAL             E             SI2           963.6363636363635
  PEAR         770          0.56         IDEAL        E                 SI2          1374.9999999999998                                                        PEAR          473           0.68          IDEAL             E             SI2           695.5882352941176
  PEAR         820          0.5          IDEAL        E                 SI2          1640                                                                      PEAR          351           0.68          IDEAL             E             SI2           516.1764705882352
  PEAR         740          0.5          IDEAL        E                 SI1          1480                                                                      PEAR          318           0.52          IDEAL             E             SI1           611.5384615384615
  PEAR         750          0.51         IDEAL        E                 SI1          1470.5882352941176                                                        PEAR          324           0.53          IDEAL             E             SI1           611.3207547169811
  PEAR         760          0.5          IDEAL        E                 SI1          1520                                                                      PEAR          355           0.58          IDEAL             E             SI1           612.0689655172414
  PEAR         890          0.5          IDEAL        E                 VS2          1780                                                                      PEAR          379           0.54          IDEAL             E             VS2           701.8518518518518
  PEAR         950          0.51         IDEAL        E                 VS2          1862.7450980392157                                                        PEAR          386           0.55          IDEAL             E             VS2           701.8181818181818
  PEAR         1000         0.59         IDEAL        E                 VS2          1694.9152542372883                                                        PEAR          400           0.57          IDEAL             E             VS2           701.7543859649123
  PEAR         950          0.5          IDEAL        E                 VS1          1900                                                                      PEAR          410           0.52          IDEAL             E             VS1           788.4615384615385
  PEAR         1010         0.53         IDEAL        E                 VS1          1905.6603773584905                                                        PEAR          420           0.5           IDEAL             E             VS1           840
  PEAR         1020         0.55         IDEAL        E                 VS1          1854.5454545454545                                                        PEAR          430           0.51          IDEAL             E             VS1           843.1372549019608
  PEAR         980          0.5          IDEAL        E                 VVS2         1960                                                                      PEAR          890           0.61          IDEAL             E             VVS2          1459.016393442623
  PEAR         1050         0.51         IDEAL        E                 VVS2         2058.823529411765                                                         PEAR          650           0.69          IDEAL             E             VVS2          942.0289855072465
  PEAR         1070         0.54         IDEAL        E                 VVS2         1981.4814814814813                                                        PEAR          630           0.67          IDEAL             E             VVS2          940.2985074626865
  PEAR         1000         0.5          IDEAL        E                 VVS1         2000                                                                      PEAR          580           0.56          IDEAL             E             VVS1          1035.7142857142856
  PEAR         1020         0.51         IDEAL        E                 VVS1         2000                                                                      PEAR          600           0.58          IDEAL             E             VVS1          1034.4827586206898
  PEAR         1030         0.5          IDEAL        E                 VVS1         2060                                                                      PEAR          570           0.55          IDEAL             E             VVS1          1036.3636363636363
  PEAR         1090         0.5          IDEAL        E                 IF           2180                                                                      PEAR          850           0.57          IDEAL             E             IF            1491.2280701754387
  PEAR         1330         0.53         IDEAL        E                 IF           2509.433962264151                                                         PEAR          810           0.51          IDEAL             E             IF            1588.235294117647
  PEAR         1300         0.52         IDEAL        E                 IF           2500                                                                      PEAR          810           0.61          IDEAL             E             IF            1327.8688524590164
  PEAR         810          0.54         IDEAL        F                 SI2          1500                                                                      PEAR          590           0.6           IDEAL             F             SI2           983.3333333333334
  PEAR         870          0.5          IDEAL        F                 SI2          1740                                                                      PEAR          610           0.62          IDEAL             F             SI2           983.8709677419355
  PEAR         930          0.57         IDEAL        F                 SI2          1631.5789473684213                                                        CUSHION       520           0.51          IDEAL             F             SI2           1019.6078431372549
  PEAR         690          0.5          IDEAL        F                 SI1          1380                                                                      PEAR          530           0.53          IDEAL             F             SI1           1000
  PEAR         840          0.6          IDEAL        F                 SI1          1400                                                                      PEAR          620           0.61          IDEAL             F             SI1           1016.3934426229508
