  Unnamed: 0   Unnamed: 1           Unnamed: 2   Unnamed: 3   Unnamed: 4   Unnamed: 5   Unnamed: 6   NATURAL   Unnamed: 8   Unnamed: 9   Unnamed: 10   Unnamed: 11   Unnamed: 12
  ------------ -------------------- ------------ ------------ ------------ ------------ ------------ --------- ------------ ------------ ------------- ------------- -------------
  COLOR        PRICE/CT                                                                                                                                Clarity       Price/Ct
  1            1969.7879077093444                                                                                                                      1             2073.49
  2            1856.1473824750585                                                                                                                      2             1747.51
  3            1904.2627017358861                                                                                                                      3             1773.63
  4            1838.304723598841                                                                                                                       4             1650.22
  5            1697.1430355481973                                                                                                                      5             1595.22
  6            1490.7176188079538                                                                                                                      6             1396.34
  7            1335.9665944076737                                                                                                                      7             1410.92
  8            1218.899343513767                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                     Labmade                                                         
                                                                                                                                                                     
                                                                                                                                                                     
                                                                                                                                                                     
  Clarity      PRICE/CT                                                                                                                                Clarity       Price/Ct
  1            1209.3912966380665                                                                                                                      1             699.33
  2            925.8375832453867                                                                                                                       2             990.52
  3            1117.5038025496135                                                                                                                      3             940.33
  4            926.0449830937193                                                                                                                       4             893.22
  5            950.2202508227291                                                                                                                       5             866.43
  6            883.7979667391432                                                                                                                       6             825.21
  7            886.1260758671045                                                                                                                       7             821.52

